Iterations,Accuracy (%),$\beta$,seed,s
30,60.857371794871796,0.0,0,0
60,75.34054487179488,0.0,0,0
90,82.04126602564102,0.0,0,0
120,85.82732371794872,0.0,0,0
150,87.70032051282051,0.0,0,0
180,88.64182692307692,0.0,0,0
210,89.4130608974359,0.0,0,0
240,89.82371794871794,0.0,0,0
270,90.38461538461539,0.0,0,0
300,90.69511217948718,0.0,0,0
330,90.91546474358974,0.0,0,0
360,91.1358173076923,0.0,0,0
390,91.63661858974359,0.0,0,0
420,91.81690705128206,0.0,0,0
450,92.16746794871794,0.0,0,0
480,92.20753205128206,0.0,0,0
510,92.20753205128206,0.0,0,0
540,92.62820512820512,0.0,0,0
570,92.68830128205128,0.0,0,0
600,92.77844551282051,0.0,0,0
30,86.93910256410257,0.9,0,0
60,91.94711538461539,0.9,0,0
90,93.73998397435898,0.9,0,0
120,94.46113782051282,0.9,0,0
150,95.24238782051282,0.9,0,0
180,95.57291666666667,0.9,0,0
210,96.27403846153847,0.9,0,0
240,96.43429487179488,0.9,0,0
270,96.92508012820512,0.9,0,0
300,97.07532051282051,0.9,0,0
330,97.1854967948718,0.9,0,0
360,97.25560897435898,0.9,0,0
390,97.62620192307692,0.9,0,0
420,97.71634615384616,0.9,0,0
450,97.81650641025641,0.9,0,0
480,97.9266826923077,0.9,0,0
510,97.98677884615384,0.9,0,0
540,97.93669871794872,0.9,0,0
570,98.13701923076923,0.9,0,0
600,98.0869391025641,0.9,0,0
30,60.06610576923077,0.0,0,2
60,78.53565705128206,0.0,0,2
90,85.16626602564102,0.0,0,2
120,87.52003205128206,0.0,0,2
150,88.84214743589743,0.0,0,2
180,89.46314102564102,0.0,0,2
210,90.37459935897436,0.0,0,2
240,90.38461538461539,0.0,0,2
270,90.95552884615384,0.0,0,2
300,91.34615384615384,0.0,0,2
330,91.70673076923077,0.0,0,2
360,91.80689102564102,0.0,0,2
390,92.0673076923077,0.0,0,2
420,92.50801282051282,0.0,0,2
450,92.55809294871794,0.0,0,2
480,92.77844551282051,0.0,0,2
510,92.97876602564102,0.0,0,2
540,93.26923076923077,0.0,0,2
570,93.37940705128206,0.0,0,2
600,93.34935897435898,0.0,0,2
30,87.2295673076923,0.9,0,2
60,92.12740384615384,0.9,0,2
90,93.7099358974359,0.9,0,2
120,94.6113782051282,0.9,0,2
150,95.21233974358974,0.9,0,2
180,95.34254807692308,0.9,0,2
210,95.92347756410257,0.9,0,2
240,96.49439102564102,0.9,0,2
270,96.82491987179488,0.9,0,2
300,97.05528846153847,0.9,0,2
330,97.16546474358974,0.9,0,2
360,97.42588141025641,0.9,0,2
390,97.64623397435898,0.9,0,2
420,97.75641025641026,0.9,0,2
450,97.71634615384616,0.9,0,2
480,97.84655448717949,0.9,0,2
510,97.9266826923077,0.9,0,2
540,98.03685897435898,0.9,0,2
570,98.1670673076923,0.9,0,2
600,98.09695512820512,0.9,0,2
30,60.08613782051282,0.0,0,5
60,78.77604166666667,0.0,0,5
90,85.39663461538461,0.0,0,5
120,87.6201923076923,0.0,0,5
150,89.03245192307692,0.0,0,5
180,89.60336538461539,0.0,0,5
210,90.38461538461539,0.0,0,5
240,90.56490384615384,0.0,0,5
270,91.16586538461539,0.0,0,5
300,91.50641025641026,0.0,0,5
330,91.68669871794872,0.0,0,5
360,91.95713141025641,0.0,0,5
390,92.05729166666667,0.0,0,5
420,92.55809294871794,0.0,0,5
450,92.64823717948718,0.0,0,5
480,92.81850961538461,0.0,0,5
510,92.99879807692308,0.0,0,5
540,93.34935897435898,0.0,0,5
570,93.46955128205128,0.0,0,5
600,93.4795673076923,0.0,0,5
30,85.41666666666667,0.9,0,5
60,91.31610576923077,0.9,0,5
90,93.42948717948718,0.9,0,5
120,94.0604967948718,0.9,0,5
150,95.03205128205128,0.9,0,5
180,95.38261217948718,0.9,0,5
210,96.19391025641026,0.9,0,5
240,96.59455128205128,0.9,0,5
270,96.72475961538461,0.9,0,5
300,96.9951923076923,0.9,0,5
330,97.13541666666667,0.9,0,5
360,97.36578525641026,0.9,0,5
390,97.7363782051282,0.9,0,5
420,97.7363782051282,0.9,0,5
450,97.74639423076923,0.9,0,5
480,97.89663461538461,0.9,0,5
510,97.9667467948718,0.9,0,5
540,98.07692307692308,0.9,0,5
570,98.17708333333333,0.9,0,5
600,98.1270032051282,0.9,0,5
30,71.70472756410257,0.0,1,0
60,79.40705128205128,0.0,1,0
90,84.97596153846153,0.0,1,0
120,87.51001602564102,0.0,1,0
150,88.74198717948718,0.0,1,0
180,89.50320512820512,0.0,1,0
210,90.1943108974359,0.0,1,0
240,90.46474358974359,0.0,1,0
270,90.90544871794872,0.0,1,0
300,91.18589743589743,0.0,1,0
330,91.51642628205128,0.0,1,0
360,91.64663461538461,0.0,1,0
390,91.70673076923077,0.0,1,0
420,92.02724358974359,0.0,1,0
450,92.23758012820512,0.0,1,0
480,92.41786858974359,0.0,1,0
510,92.51802884615384,0.0,1,0
540,92.74839743589743,0.0,1,0
570,92.96875,0.0,1,0
600,93.10897435897436,0.0,1,0
30,88.58173076923077,0.9,1,0
60,91.78685897435898,0.9,1,0
90,93.2792467948718,0.9,1,0
120,94.20072115384616,0.9,1,0
150,94.8818108974359,0.9,1,0
180,95.3125,0.9,1,0
210,95.79326923076923,0.9,1,0
240,96.0136217948718,0.9,1,0
270,96.42427884615384,0.9,1,0
300,96.63461538461539,0.9,1,0
330,96.9551282051282,0.9,1,0
360,97.07532051282051,0.9,1,0
390,97.20552884615384,0.9,1,0
420,97.28565705128206,0.9,1,0
450,97.51602564102564,0.9,1,0
480,97.36578525641026,0.9,1,0
510,97.68629807692308,0.9,1,0
540,97.79647435897436,0.9,1,0
570,97.94671474358974,0.9,1,0
600,97.87660256410257,0.9,1,0
30,73.84815705128206,0.0,1,2
60,83.35336538461539,0.0,1,2
90,87.13942307692308,0.0,1,2
120,88.88221153846153,0.0,1,2
150,89.42307692307692,0.0,1,2
180,90.10416666666667,0.0,1,2
210,90.68509615384616,0.0,1,2
240,91.07572115384616,0.0,1,2
270,91.37620192307692,0.0,1,2
300,91.63661858974359,0.0,1,2
330,91.92708333333333,0.0,1,2
360,92.21754807692308,0.0,1,2
390,92.39783653846153,0.0,1,2
420,92.56810897435898,0.0,1,2
450,92.8485576923077,0.0,1,2
480,93.02884615384616,0.0,1,2
510,93.16907051282051,0.0,1,2
540,93.19911858974359,0.0,1,2
570,93.46955128205128,0.0,1,2
600,93.73998397435898,0.0,1,2
30,88.13100961538461,0.9,1,2
60,91.07572115384616,0.9,1,2
90,92.3076923076923,0.9,1,2
120,93.99038461538461,0.9,1,2
150,94.38100961538461,0.9,1,2
180,95.38261217948718,0.9,1,2
210,95.95352564102564,0.9,1,2
240,96.12379807692308,0.9,1,2
270,96.2139423076923,0.9,1,2
300,96.71474358974359,0.9,1,2
330,96.93509615384616,0.9,1,2
360,97.17548076923077,0.9,1,2
390,97.37580128205128,0.9,1,2
420,97.2255608974359,0.9,1,2
450,97.64623397435898,0.9,1,2
480,97.60616987179488,0.9,1,2
510,97.62620192307692,0.9,1,2
540,97.84655448717949,0.9,1,2
570,97.93669871794872,0.9,1,2
600,97.91666666666667,0.9,1,2
30,74.00841346153847,0.0,1,5
60,83.85416666666667,0.0,1,5
90,87.43990384615384,0.0,1,5
120,89.11258012820512,0.0,1,5
150,89.31290064102564,0.0,1,5
180,90.24439102564102,0.0,1,5
210,90.75520833333333,0.0,1,5
240,90.99559294871794,0.0,1,5
270,91.47636217948718,0.0,1,5
300,91.81690705128206,0.0,1,5
330,91.99719551282051,0.0,1,5
360,92.31770833333333,0.0,1,5
390,92.56810897435898,0.0,1,5
420,92.59815705128206,0.0,1,5
450,92.93870192307692,0.0,1,5
480,93.05889423076923,0.0,1,5
510,93.2391826923077,0.0,1,5
540,93.32932692307692,0.0,1,5
570,93.52964743589743,0.0,1,5
600,93.75,0.0,1,5
30,86.94911858974359,0.9,1,5
60,89.21274038461539,0.9,1,5
90,91.5264423076923,0.9,1,5
120,94.1005608974359,0.9,1,5
150,94.86177884615384,0.9,1,5
180,95.25240384615384,0.9,1,5
210,95.52283653846153,0.9,1,5
240,96.08373397435898,0.9,1,5
270,96.35416666666667,0.9,1,5
300,96.59455128205128,0.9,1,5
330,96.81490384615384,0.9,1,5
360,97.16546474358974,0.9,1,5
390,97.2255608974359,0.9,1,5
420,97.24559294871794,0.9,1,5
450,97.62620192307692,0.9,1,5
480,97.5360576923077,0.9,1,5
510,97.7363782051282,0.9,1,5
540,97.9266826923077,0.9,1,5
570,97.93669871794872,0.9,1,5
600,97.90665064102564,0.9,1,5
30,67.24759615384616,0.0,2,0
60,74.18870192307692,0.0,2,0
90,80.10817307692308,0.0,2,0
120,84.83573717948718,0.0,2,0
150,87.17948717948718,0.0,2,0
180,88.42147435897436,0.0,2,0
210,89.22275641025641,0.0,2,0
240,89.8838141025641,0.0,2,0
270,90.29447115384616,0.0,2,0
300,90.52483974358974,0.0,2,0
330,90.94551282051282,0.0,2,0
360,91.16586538461539,0.0,2,0
390,91.34615384615384,0.0,2,0
420,91.56650641025641,0.0,2,0
450,91.80689102564102,0.0,2,0
480,92.09735576923077,0.0,2,0
510,92.17748397435898,0.0,2,0
540,92.58814102564102,0.0,2,0
570,92.76842948717949,0.0,2,0
600,92.72836538461539,0.0,2,0
30,87.39983974358974,0.9,2,0
60,91.7568108974359,0.9,2,0
90,93.2792467948718,0.9,2,0
120,93.88020833333333,0.9,2,0
150,94.68149038461539,0.9,2,0
180,95.2323717948718,0.9,2,0
210,95.77323717948718,0.9,2,0
240,96.08373397435898,0.9,2,0
270,96.5645032051282,0.9,2,0
300,96.6045673076923,0.9,2,0
330,96.8349358974359,0.9,2,0
360,97.00520833333333,0.9,2,0
390,97.20552884615384,0.9,2,0
420,97.44591346153847,0.9,2,0
450,97.55608974358974,0.9,2,0
480,97.67628205128206,0.9,2,0
510,97.59615384615384,0.9,2,0
540,97.76642628205128,0.9,2,0
570,97.89663461538461,0.9,2,0
600,97.98677884615384,0.9,2,0
30,67.42788461538461,0.0,2,2
60,77.94471153846153,0.0,2,2
90,83.80408653846153,0.0,2,2
120,87.26963141025641,0.0,2,2
150,88.91225961538461,0.0,2,2
180,89.50320512820512,0.0,2,2
210,90.16426282051282,0.0,2,2
240,90.53485576923077,0.0,2,2
270,91.00560897435898,0.0,2,2
300,91.18589743589743,0.0,2,2
330,91.60657051282051,0.0,2,2
360,91.74679487179488,0.0,2,2
390,92.08733974358974,0.0,2,2
420,92.1474358974359,0.0,2,2
450,92.35777243589743,0.0,2,2
480,92.56810897435898,0.0,2,2
510,92.63822115384616,0.0,2,2
540,92.97876602564102,0.0,2,2
570,93.0889423076923,0.0,2,2
600,93.11899038461539,0.0,2,2
30,83.70392628205128,0.9,2,2
60,90.8954326923077,0.9,2,2
90,93.19911858974359,0.9,2,2
120,93.8301282051282,0.9,2,2
150,94.4110576923077,0.9,2,2
180,94.97195512820512,0.9,2,2
210,95.73317307692308,0.9,2,2
240,95.89342948717949,0.9,2,2
270,96.30408653846153,0.9,2,2
300,96.46434294871794,0.9,2,2
330,96.9551282051282,0.9,2,2
360,97.05528846153847,0.9,2,2
390,97.265625,0.9,2,2
420,97.3858173076923,0.9,2,2
450,97.48597756410257,0.9,2,2
480,97.6161858974359,0.9,2,2
510,97.62620192307692,0.9,2,2
540,97.86658653846153,0.9,2,2
570,97.91666666666667,0.9,2,2
600,97.9266826923077,0.9,2,2
30,67.37780448717949,0.0,2,5
60,78.13501602564102,0.0,2,5
90,84.36498397435898,0.0,2,5
120,87.5801282051282,0.0,2,5
150,89.08253205128206,0.0,2,5
180,89.66346153846153,0.0,2,5
210,90.29447115384616,0.0,2,5
240,90.5448717948718,0.0,2,5
270,91.02564102564102,0.0,2,5
300,91.25600961538461,0.0,2,5
330,91.7167467948718,0.0,2,5
360,91.81690705128206,0.0,2,5
390,92.12740384615384,0.0,2,5
420,92.20753205128206,0.0,2,5
450,92.42788461538461,0.0,2,5
480,92.60817307692308,0.0,2,5
510,92.77844551282051,0.0,2,5
540,92.90865384615384,0.0,2,5
570,93.18910256410257,0.0,2,5
600,93.21915064102564,0.0,2,5
30,86.94911858974359,0.9,2,5
60,90.43469551282051,0.9,2,5
90,92.93870192307692,0.9,2,5
120,94.0204326923077,0.9,2,5
150,94.12059294871794,0.9,2,5
180,94.71153846153847,0.9,2,5
210,95.57291666666667,0.9,2,5
240,96.22395833333333,0.9,2,5
270,96.4443108974359,0.9,2,5
300,96.5244391025641,0.9,2,5
330,96.77483974358974,0.9,2,5
360,97.00520833333333,0.9,2,5
390,97.20552884615384,0.9,2,5
420,97.21554487179488,0.9,2,5
450,97.59615384615384,0.9,2,5
480,97.59615384615384,0.9,2,5
510,97.7363782051282,0.9,2,5
540,97.76642628205128,0.9,2,5
570,97.87660256410257,0.9,2,5
600,98.0869391025641,0.9,2,5
